name,price
Python编程快速上手 让繁琐工作自动化,51.40
Python项目开发案例集锦（全彩版）,117.80
Python基础教程（第3版）,78.20
Python学习手册（套装上下册）（原书第5版）,173.00
对比Excel，轻松学习Python数据分析,56.10
Python编程锦囊（全彩版）,73.40
笨办法学Python 3,43.90
Python零基础入门学习（第2版）,78.30
Python核心编程（第3版）,73.70
流畅的Python,109.80
Python深度学习,94.00
Python语言程序设计基础（第2版）教育部大学计算机课程改革项目规划教材,30.30
Python从小白到大牛,89.00
Python 3网络爬虫开发实战,78.20
Python Cookbook（第3版）中文版,85.10
疯狂Python讲义,112.10
Python金融大数据挖掘与分析全流程详解,88.90
教孩子学编程 Python语言版,46.60
深度学习入门 基于Python的理论与实现,46.60
Python从入门到精通（软件开发视频大讲堂）,67.80
Python编程从零基础到项目实战（微课视频版）,67.80
Effective Python：编写高质量Python代码的59个有效方法,46.60
Python Qt GUI与数据可视化编程,78.00
基于Python的金融分析与风险管理,87.80
父与子的编程之旅：与小卡特一起学Python,55.00
基于Python的大数据分析基础及实战,59.30
Python数据处理,80.90
Python编程从入门到精通 项目开发视频学习版,58.80
Python算法详解,57.80
Python在机器学习中的应用,67.80
Python数据分析与挖掘实战,53.60
Python数据可视化之matplotlib实践,56.10
Python GUI设计：tkinter菜鸟编程,67.20
OpenCV轻松入门：面向Python,94.10
强化学习：原理与Python实现,73.40
Python自动化测试实战,53.50
Python 3破冰人工智能 从入门到实战,49.40
从Python开始学编程,46.60
Python网络爬虫开发从入门到精通,61.20
Python函数式编程 第2版,66.20
机器学习线性代数基础 Python语言描述,38.00
PyQt5快速开发与实战,94.10
Python 快速入门 第3版,74.50
Python游戏编程入门,41.00
实战Python网络爬虫,84.20
Python 网络爬虫从入门到精通,79.00
Selenium 3+Python 3自动化测试项目实战：从菜鸟到高手,75.10
从零开始学Python数据分析（视频教学版）,56.90
Python极客项目编程,57.80
Python编程 从入门到实践,59.50
Python自然语言处理实战：核心技术与算法,53.60
Python机器学习（原书第2版）,79.00
Python核心编程（第2版）,74.50
PYTHON 新手学DJANGO 2.0架站的16堂课(第2版),72.30
Python自然语言处理,70.20
Python量化交易,94.10
